"Student Counts by District and Year"
"All Districts"
"Trend"

"District","District Code","Count"
"Integrated Day Charter School District","=""2640013""",330
"Integrated Day Charter School District","=""2640013""",331
"Integrated Day Charter School District","=""2640013""",330
"Integrated Day Charter School District","=""2640013""",330
"Integrated Day Charter School District","=""2640013""",330
"Integrated Day Charter School District","=""2640013""",331
"Integrated Day Charter School District","=""2640013""",331
"Interdistrict School for Arts and Comm District","=""2650013""",181
"Interdistrict School for Arts and Comm District","=""2650013""",182
"Interdistrict School for Arts and Comm District","=""2650013""",182
"Interdistrict School for Arts and Comm District","=""2650013""",182
"Interdistrict School for Arts and Comm District","=""2650013""",191
"Interdistrict School for Arts and Comm District","=""2650013""",191
"Interdistrict School for Arts and Comm District","=""2650013""",246
"Interdistrict School for Arts and Comm District","=""2650013""",262
"Interdistrict School for Arts and Comm District","=""2650013""",271
"Jumoke Academy District","=""2610013""",369
"Jumoke Academy District","=""2610013""",412
"Jumoke Academy District","=""2610013""",434
"Jumoke Academy District","=""2610013""",432
"Jumoke Academy District","=""2610013""",488
"Jumoke Academy District","=""2610013""",589
"Jumoke Academy District","=""2610013""",704
"Jumoke Academy District","=""2610013""",716
"Jumoke Academy District","=""2610013""",734
"Kent School District","=""0680011""",257
"Kent School District","=""0680011""",284
"Kent School District","=""0680011""",282
"Kent School District","=""0680011""",287
"Kent School District","=""0680011""",278
"Kent School District","=""0680011""",271
"Kent School District","=""0680011""",272
"Kent School District","=""0680011""",258
"Kent School District","=""0680011""",237
"Killingly School District","=""0690011""",2735
"Killingly School District","=""0690011""",2724
"Killingly School District","=""0690011""",2708
"Killingly School District","=""0690011""",2711
"Killingly School District","=""0690011""",2704
"Killingly School District","=""0690011""",2716
"Killingly School District","=""0690011""",2671
"Killingly School District","=""0690011""",2576
"Killingly School District","=""0690011""",2596
"Learn","=""2450014""",1077
"Learn","=""2450014""",1037
"Learn","=""2450014""",1121
"Learn","=""2450014""",1295
"Learn","=""2450014""",1514
"Learn","=""2450014""",1728
"Learn","=""2450014""",2137
"Learn","=""2450014""",2270
"Learn","=""2450014""",2373
"Lebanon School District","=""0710011""",1530
"Lebanon School District","=""0710011""",1547
"Lebanon School District","=""0710011""",1457
"Lebanon School District","=""0710011""",1412
"Lebanon School District","=""0710011""",1293
"Lebanon School District","=""0710011""",1238
"Lebanon School District","=""0710011""",1158
"Lebanon School District","=""0710011""",1105
"Lebanon School District","=""0710011""",1054
"Ledyard School District","=""0720011""",2905
"Ledyard School District","=""0720011""",2761
"Ledyard School District","=""0720011""",2682
"Ledyard School District","=""0720011""",2643
"Ledyard School District","=""0720011""",2604
"Ledyard School District","=""0720011""",2616
"Ledyard School District","=""0720011""",2580
"Ledyard School District","=""0720011""",2540
"Ledyard School District","=""0720011""",2445
"Lisbon School District","=""0730011""",579
"Lisbon School District","=""0730011""",564
"Lisbon School District","=""0730011""",569
"Lisbon School District","=""0730011""",535
"Lisbon School District","=""0730011""",481
"Lisbon School District","=""0730011""",448
"Lisbon School District","=""0730011""",402
"Lisbon School District","=""0730011""",403
"Lisbon School District","=""0730011""",392
"Litchfield School District","=""0740011""",1215
"Litchfield School District","=""0740011""",1203
"Litchfield School District","=""0740011""",1207
"Litchfield School District","=""0740011""",1176
"Litchfield School District","=""0740011""",1133
"Litchfield School District","=""0740011""",1040
"Litchfield School District","=""0740011""",992
"Litchfield School District","=""0740011""",983
"Litchfield School District","=""0740011""",971
"Madison School District","=""0760011""",3796
"Madison School District","=""0760011""",3740
"Madison School District","=""0760011""",3695
"Madison School District","=""0760011""",3630
"Madison School District","=""0760011""",3465
"Madison School District","=""0760011""",3390
"Madison School District","=""0760011""",3297
"Madison School District","=""0760011""",3171
"Madison School District","=""0760011""",3027
"Manchester School District","=""0770011""",6913
"Manchester School District","=""0770011""",6936
"Manchester School District","=""0770011""",6941
"Manchester School District","=""0770011""",6862
"Manchester School District","=""0770011""",6454
"Manchester School District","=""0770011""",6275
"Manchester School District","=""0770011""",6256
"Manchester School District","=""0770011""",6267
"Manchester School District","=""0770011""",6243
"Mansfield School District","=""0780011""",1307
"Mansfield School District","=""0780011""",1285
"Mansfield School District","=""0780011""",1275
"Mansfield School District","=""0780011""",1331
"Mansfield School District","=""0780011""",1329
"Mansfield School District","=""0780011""",1321
"Mansfield School District","=""0780011""",1249
"Mansfield School District","=""0780011""",1242
"Mansfield School District","=""0780011""",1251
"Marlborough School District","=""0790011""",663
"Marlborough School District","=""0790011""",676
"Marlborough School District","=""0790011""",669
"Marlborough School District","=""0790011""",675
"Marlborough School District","=""0790011""",672
"Marlborough School District","=""0790011""",639
"Marlborough School District","=""0790011""",605
"Marlborough School District","=""0790011""",600
"Marlborough School District","=""0790011""",556
"Meriden School District","=""0800011""",8908
"Meriden School District","=""0800011""",8719
"Meriden School District","=""0800011""",8463
"Meriden School District","=""0800011""",8406
"Meriden School District","=""0800011""",8342
"Meriden School District","=""0800011""",8260
"Meriden School District","=""0800011""",8183
"Meriden School District","=""0800011""",8100
"Meriden School District","=""0800011""",7993
"Middletown School District","=""0830011""",5088
"Middletown School District","=""0830011""",5189
"Middletown School District","=""0830011""",5239
"Middletown School District","=""0830011""",5251
"Middletown School District","=""0830011""",5106
"Middletown School District","=""0830011""",4948
"Middletown School District","=""0830011""",4847
"Middletown School District","=""0830011""",4793
"Middletown School District","=""0830011""",4701
"Milford School District","=""0840011""",7400
"Milford School District","=""0840011""",7326
"Milford School District","=""0840011""",7147
"Milford School District","=""0840011""",6988
"Milford School District","=""0840011""",6836
"Milford School District","=""0840011""",6670
"Milford School District","=""0840011""",6434
"Milford School District","=""0840011""",6278
"Milford School District","=""0840011""",6152
"Monroe School District","=""0850011""",4226
"Monroe School District","=""0850011""",4050
"Monroe School District","=""0850011""",3899
"Monroe School District","=""0850011""",3761
"Monroe School District","=""0850011""",3589
"Monroe School District","=""0850011""",3488
"Monroe School District","=""0850011""",3379
"Monroe School District","=""0850011""",3299
"Monroe School District","=""0850011""",3180
"Montville School District","=""0860011""",2871
"Montville School District","=""0860011""",2784
"Montville School District","=""0860011""",2698
"Montville School District","=""0860011""",2670
"Montville School District","=""0860011""",2575
"Montville School District","=""0860011""",2455
"Montville School District","=""0860011""",2418
"Montville School District","=""0860011""",2356
"Montville School District","=""0860011""",2256
"Naugatuck School District","=""0880011""",4931
"Naugatuck School District","=""0880011""",4832
"Naugatuck School District","=""0880011""",4893
"Naugatuck School District","=""0880011""",4674
"Naugatuck School District","=""0880011""",4535
"Naugatuck School District","=""0880011""",4490
"Naugatuck School District","=""0880011""",4356
"Naugatuck School District","=""0880011""",4316
"Naugatuck School District","=""0880011""",4246
"New Beginnings Inc., Family Academy District","=""2800013""",362
"New Beginnings Inc., Family Academy District","=""2800013""",358
"New Beginnings Inc., Family Academy District","=""2800013""",360
"New Beginnings Inc., Family Academy District","=""2800013""",360
"New Beginnings Inc., Family Academy District","=""2800013""",361
"New Beginnings Inc., Family Academy District","=""2800013""",399
"New Beginnings Inc., Family Academy District","=""2800013""",402
"New Beginnings Inc., Family Academy District","=""2800013""",473
"New Beginnings Inc., Family Academy District","=""2800013""",499
"New Britain School District","=""0890011""",10719
"New Britain School District","=""0890011""",10496
"New Britain School District","=""0890011""",10318
"New Britain School District","=""0890011""",10222
"New Britain School District","=""0890011""",10268
"New Britain School District","=""0890011""",10322
"New Britain School District","=""0890011""",10136
"New Britain School District","=""0890011""",10101
"New Britain School District","=""0890011""",10071
"New Canaan School District","=""0900011""",4130
"New Canaan School District","=""0900011""",4104
"New Canaan School District","=""0900011""",4091
"New Canaan School District","=""0900011""",4143
"New Canaan School District","=""0900011""",4173
"New Canaan School District","=""0900011""",4223
"New Canaan School District","=""0900011""",4192
"New Canaan School District","=""0900011""",4213
"New Canaan School District","=""0900011""",4227
"New Fairfield School District","=""0910011""",3048
"New Fairfield School District","=""0910011""",3056
"New Fairfield School District","=""0910011""",3031
"New Fairfield School District","=""0910011""",2920
"New Fairfield School District","=""0910011""",2878
"New Fairfield School District","=""0910011""",2805
"New Fairfield School District","=""0910011""",2730
"New Fairfield School District","=""0910011""",2662
"New Fairfield School District","=""0910011""",2497
"New Hartford School District","=""0920011""",618
"New Hartford School District","=""0920011""",620
"New Hartford School District","=""0920011""",632
"New Hartford School District","=""0920011""",610
"New Hartford School District","=""0920011""",583
"New Hartford School District","=""0920011""",567
"New Hartford School District","=""0920011""",545
"New Hartford School District","=""0920011""",506
"New Hartford School District","=""0920011""",470
"New Haven School District","=""0930011""",19981
"New Haven School District","=""0930011""",19848
"New Haven School District","=""0930011""",19947
"New Haven School District","=""0930011""",20194
"New Haven School District","=""0930011""",20648
"New Haven School District","=""0930011""",21246
"New Haven School District","=""0930011""",21420
"New Haven School District","=""0930011""",21711
"New Haven School District","=""0930011""",21725
"New London School District","=""0950011""",2933
"New London School District","=""0950011""",3105
"New London School District","=""0950011""",3020
"New London School District","=""0950011""",3106
"New London School District","=""0950011""",2998
"New London School District","=""0950011""",3107
"New London School District","=""0950011""",3115
"New London School District","=""0950011""",3253
"New London School District","=""0950011""",3381
"New Milford School District","=""0960011""",5034
"New Milford School District","=""0960011""",4922
"New Milford School District","=""0960011""",4883
"New Milford School District","=""0960011""",4773
"New Milford School District","=""0960011""",4688
"New Milford School District","=""0960011""",4620
"New Milford School District","=""0960011""",4504
"New Milford School District","=""0960011""",4362
"New Milford School District","=""0960011""",4245
"Newington School District","=""0940011""",4566
"Newington School District","=""0940011""",4533
"Newington School District","=""0940011""",4492
"Newington School District","=""0940011""",4447
"Newington School District","=""0940011""",4378
"Newington School District","=""0940011""",4343
"Newington School District","=""0940011""",4244
"Newington School District","=""0940011""",4127
"Newington School District","=""0940011""",4060
"Newtown School District","=""0970011""",5663
"Newtown School District","=""0970011""",5612
"Newtown School District","=""0970011""",5510
"Newtown School District","=""0970011""",5464
"Newtown School District","=""0970011""",5316
"Newtown School District","=""0970011""",5159
"Newtown School District","=""0970011""",4920
"Newtown School District","=""0970011""",4767
"Newtown School District","=""0970011""",4588
"Norfolk School District","=""0980011""",168
"Norfolk School District","=""0980011""",157
"Norfolk School District","=""0980011""",144
"Norfolk School District","=""0980011""",141
"Norfolk School District","=""0980011""",124
"Norfolk School District","=""0980011""",121
"Norfolk School District","=""0980011""",117
"Norfolk School District","=""0980011""",116
"Norfolk School District","=""0980011""",116
"North Branford School District","=""0990011""",2434
"North Branford School District","=""0990011""",2401
"North Branford School District","=""0990011""",2342
"North Branford School District","=""0990011""",2293
"North Branford School District","=""0990011""",2187
"North Branford School District","=""0990011""",2094
"North Branford School District","=""0990011""",2018
"North Branford School District","=""0990011""",1969
"North Branford School District","=""0990011""",1889
"North Canaan School District","=""1000011""",359
"North Canaan School District","=""1000011""",338
"North Canaan School District","=""1000011""",328
"North Canaan School District","=""1000011""",318
"North Canaan School District","=""1000011""",308
"North Canaan School District","=""1000011""",315
"North Canaan School District","=""1000011""",295
"North Canaan School District","=""1000011""",280
"North Canaan School District","=""1000011""",260
"North Haven School District","=""1010011""",3897
"North Haven School District","=""1010011""",3836
"North Haven School District","=""1010011""",3712
"North Haven School District","=""1010011""",3624
"North Haven School District","=""1010011""",3580
"North Haven School District","=""1010011""",3537
"North Haven School District","=""1010011""",3402
"North Haven School District","=""1010011""",3312
"North Haven School District","=""1010011""",3188
"North Stonington School District","=""1020011""",805
"North Stonington School District","=""1020011""",794
"North Stonington School District","=""1020011""",792
"North Stonington School District","=""1020011""",796
"North Stonington School District","=""1020011""",781
"North Stonington School District","=""1020011""",764
"North Stonington School District","=""1020011""",751
"North Stonington School District","=""1020011""",741
"North Stonington School District","=""1020011""",728
"Norwalk School District","=""1030011""",10729
"Norwalk School District","=""1030011""",10842
"Norwalk School District","=""1030011""",10962
"Norwalk School District","=""1030011""",11143
"Norwalk School District","=""1030011""",11183
"Norwalk School District","=""1030011""",11148
"Norwalk School District","=""1030011""",11169
"Norwalk School District","=""1030011""",11311
"Norwalk School District","=""1030011""",11409
"Norwich Free Academy District","=""9010022""",2449
"Norwich Free Academy District","=""9010022""",2488
"Norwich Free Academy District","=""9010022""",2421
"Norwich Free Academy District","=""9010022""",2381
"Norwich Free Academy District","=""9010022""",2315
"Norwich Free Academy District","=""9010022""",2264
"Norwich Free Academy District","=""9010022""",2324
"Norwich Free Academy District","=""9010022""",2317
"Norwich Free Academy District","=""9010022""",2282
"Norwich School District","=""1040011""",4070
"Norwich School District","=""1040011""",4004
"Norwich School District","=""1040011""",3946
"Norwich School District","=""1040011""",3877
"Norwich School District","=""1040011""",3883
"Norwich School District","=""1040011""",3869
"Norwich School District","=""1040011""",3804
"Norwich School District","=""1040011""",3764
"Norwich School District","=""1040011""",3705
"Odyssey Community School District","=""2630013""",177
"Odyssey Community School District","=""2630013""",178
"Odyssey Community School District","=""2630013""",180
"Odyssey Community School District","=""2630013""",181
"Odyssey Community School District","=""2630013""",314
"Odyssey Community School District","=""2630013""",324
"Odyssey Community School District","=""2630013""",325
"Odyssey Community School District","=""2630013""",328
"Odyssey Community School District","=""2630013""",328
"Old Saybrook School District","=""1060011""",1621
"Old Saybrook School District","=""1060011""",1628
"Old Saybrook School District","=""1060011""",1599
"Old Saybrook School District","=""1060011""",1577
"Old Saybrook School District","=""1060011""",1571
"Old Saybrook School District","=""1060011""",1505
"Old Saybrook School District","=""1060011""",1446
"Old Saybrook School District","=""1060011""",1425
"Old Saybrook School District","=""1060011""",1346
"Orange School District","=""1070011""",1377
"Orange School District","=""1070011""",1320
"Orange School District","=""1070011""",1301
"Orange School District","=""1070011""",1284
"Orange School District","=""1070011""",1273
"Orange School District","=""1070011""",1248
"Orange School District","=""1070011""",1192
"Orange School District","=""1070011""",1180
"Orange School District","=""1070011""",1179
"Oxford School District","=""1080011""",1861
"Oxford School District","=""1080011""",2027
"Oxford School District","=""1080011""",2163
"Oxford School District","=""1080011""",2205
"Oxford School District","=""1080011""",2147
"Oxford School District","=""1080011""",2103
"Oxford School District","=""1080011""",2053
"Oxford School District","=""1080011""",1979
"Oxford School District","=""1080011""",1974
"Park City Prep Charter School District","=""2830013""",206
"Park City Prep Charter School District","=""2830013""",224
"Park City Prep Charter School District","=""2830013""",242
"Park City Prep Charter School District","=""2830013""",250
"Park City Prep Charter School District","=""2830013""",257
"Park City Prep Charter School District","=""2830013""",251
"Park City Prep Charter School District","=""2830013""",260
"Park City Prep Charter School District","=""2830013""",360
"Park City Prep Charter School District","=""2830013""",360
"Path Academy District","=""2930013""",0
"Path Academy District","=""2930013""",0
"Path Academy District","=""2930013""",0
"Path Academy District","=""2930013""",0
"Path Academy District","=""2930013""",0
"Path Academy District","=""2930013""",0
"Path Academy District","=""2930013""",0
"Path Academy District","=""2930013""",132
"Path Academy District","=""2930013""",143
"Plainfield School District","=""1090011""",2784
"Plainfield School District","=""1090011""",2720
"Plainfield School District","=""1090011""",2737
"Plainfield School District","=""1090011""",2645
"Plainfield School District","=""1090011""",2593
"Plainfield School District","=""1090011""",2507
"Plainfield School District","=""1090011""",2462
"Plainfield School District","=""1090011""",2351
"Plainfield School District","=""1090011""",2330
"Plainville School District","=""1100011""",2629
"Plainville School District","=""1100011""",2542
"Plainville School District","=""1100011""",2554
"Plainville School District","=""1100011""",2486
"Plainville School District","=""1100011""",2424
"Plainville School District","=""1100011""",2376
"Plainville School District","=""1100011""",2338
"Plainville School District","=""1100011""",2412
"Plainville School District","=""1100011""",2409
"Plymouth School District","=""1110011""",1913
"Plymouth School District","=""1110011""",1864
"Plymouth School District","=""1110011""",1799
"Plymouth School District","=""1110011""",1745
"Plymouth School District","=""1110011""",1665
"Plymouth School District","=""1110011""",1619
"Plymouth School District","=""1110011""",1577
"Plymouth School District","=""1110011""",1556
"Plymouth School District","=""1110011""",1522
"Pomfret School District","=""1120011""",543
"Pomfret School District","=""1120011""",545
"Pomfret School District","=""1120011""",539
"Pomfret School District","=""1120011""",518
"Pomfret School District","=""1120011""",475
"Pomfret School District","=""1120011""",476
"Pomfret School District","=""1120011""",426
"Pomfret School District","=""1120011""",410
"Pomfret School District","=""1120011""",402
"Portland School District","=""1130011""",1433
"Portland School District","=""1130011""",1432
"Portland School District","=""1130011""",1439
"Portland School District","=""1130011""",1408
"Portland School District","=""1130011""",1372
"Portland School District","=""1130011""",1382
"Portland School District","=""1130011""",1382
"Portland School District","=""1130011""",1334
"Portland School District","=""1130011""",1360
"Preston School District","=""1140011""",509
"Preston School District","=""1140011""",494
"Preston School District","=""1140011""",438
"Preston School District","=""1140011""",438
"Preston School District","=""1140011""",404
"Preston School District","=""1140011""",415
"Preston School District","=""1140011""",433
"Preston School District","=""1140011""",426
"Preston School District","=""1140011""",445
"Putnam School District","=""1160011""",1319
"Putnam School District","=""1160011""",1254
"Putnam School District","=""1160011""",1239
"Putnam School District","=""1160011""",1301
"Putnam School District","=""1160011""",1264
"Putnam School District","=""1160011""",1273
"Putnam School District","=""1160011""",1265
"Putnam School District","=""1160011""",1252
"Putnam School District","=""1160011""",1195
"Redding School District","=""1170011""",1309
"Redding School District","=""1170011""",1304
"Redding School District","=""1170011""",1269
"Redding School District","=""1170011""",1246
"Redding School District","=""1170011""",1210
"Redding School District","=""1170011""",1133
"Redding School District","=""1170011""",1060
"Redding School District","=""1170011""",1001
"Redding School District","=""1170011""",954
"Regional School District 01","=""2010012""",570
"Regional School District 01","=""2010012""",563
"Regional School District 01","=""2010012""",516
"Regional School District 01","=""2010012""",506
"Regional School District 01","=""2010012""",467
"Regional School District 01","=""2010012""",424
"Regional School District 01","=""2010012""",432
"Regional School District 01","=""2010012""",406
"Regional School District 01","=""2010012""",446
"Regional School District 04","=""2040012""",961
"Regional School District 04","=""2040012""",959
"Regional School District 04","=""2040012""",981
"Regional School District 04","=""2040012""",983
"Regional School District 04","=""2040012""",963
"Regional School District 04","=""2040012""",994
"Regional School District 04","=""2040012""",983
"Regional School District 04","=""2040012""",974
"Regional School District 04","=""2040012""",928
"Regional School District 05","=""2050012""",2483
"Regional School District 05","=""2050012""",2504
"Regional School District 05","=""2050012""",2498
"Regional School District 05","=""2050012""",2495
"Regional School District 05","=""2050012""",2444
"Regional School District 05","=""2050012""",2369
"Regional School District 05","=""2050012""",2372
"Regional School District 05","=""2050012""",2328
"Regional School District 05","=""2050012""",2270
"Regional School District 06","=""2060012""",1130
"Regional School District 06","=""2060012""",1084
"Regional School District 06","=""2060012""",1076
"Regional School District 06","=""2060012""",1053
"Regional School District 06","=""2060012""",1045
"Regional School District 06","=""2060012""",1034
"Regional School District 06","=""2060012""",996
"Regional School District 06","=""2060012""",971
"Regional School District 06","=""2060012""",986
"Regional School District 07","=""2070012""",1155
"Regional School District 07","=""2070012""",1197
"Regional School District 07","=""2070012""",1172
"Regional School District 07","=""2070012""",1179
"Regional School District 07","=""2070012""",1163
"Regional School District 07","=""2070012""",1146
"Regional School District 07","=""2070012""",1139
"Regional School District 07","=""2070012""",1076
"Regional School District 07","=""2070012""",1100
"Regional School District 08","=""2080012""",1676
"Regional School District 08","=""2080012""",1759
"Regional School District 08","=""2080012""",1743
"Regional School District 08","=""2080012""",1780
"Regional School District 08","=""2080012""",1792
"Regional School District 08","=""2080012""",1776
"Regional School District 08","=""2080012""",1743
"Regional School District 08","=""2080012""",1661
"Regional School District 08","=""2080012""",1601
"Regional School District 09","=""2090012""",979
"Regional School District 09","=""2090012""",967
"Regional School District 09","=""2090012""",973
"Regional School District 09","=""2090012""",985
"Regional School District 09","=""2090012""",1022
"Regional School District 09","=""2090012""",1032
"Regional School District 09","=""2090012""",1082
"Regional School District 09","=""2090012""",1065
"Regional School District 09","=""2090012""",1028
"Regional School District 10","=""2100012""",2855
"Regional School District 10","=""2100012""",2862
"Regional School District 10","=""2100012""",2831
"Regional School District 10","=""2100012""",2773
"Regional School District 10","=""2100012""",2679
"Regional School District 10","=""2100012""",2638
"Regional School District 10","=""2100012""",2577
"Regional School District 10","=""2100012""",2484
"Regional School District 10","=""2100012""",2416
"Regional School District 11","=""2110012""",299
"Regional School District 11","=""2110012""",318
"Regional School District 11","=""2110012""",300
"Regional School District 11","=""2110012""",282
"Regional School District 11","=""2110012""",300
"Regional School District 11","=""2110012""",290
"Regional School District 11","=""2110012""",295
"Regional School District 11","=""2110012""",278
"Regional School District 11","=""2110012""",253
"Regional School District 12","=""2120012""",1062
"Regional School District 12","=""2120012""",1014
"Regional School District 12","=""2120012""",973
"Regional School District 12","=""2120012""",933
"Regional School District 12","=""2120012""",889
"Regional School District 12","=""2120012""",843
"Regional School District 12","=""2120012""",800
"Regional School District 12","=""2120012""",752
"Regional School District 12","=""2120012""",732
"Regional School District 13","=""2130012""",2156
"Regional School District 13","=""2130012""",2143
"Regional School District 13","=""2130012""",2094
"Regional School District 13","=""2130012""",2052
"Regional School District 13","=""2130012""",2001
"Regional School District 13","=""2130012""",1960
"Regional School District 13","=""2130012""",1875
"Regional School District 13","=""2130012""",1832
"Regional School District 13","=""2130012""",1751
"Regional School District 14","=""2140012""",2215
"Regional School District 14","=""2140012""",2142
"Regional School District 14","=""2140012""",2129
"Regional School District 14","=""2140012""",2104
"Regional School District 14","=""2140012""",2018
"Regional School District 14","=""2140012""",1943
"Regional School District 14","=""2140012""",1905
"Regional School District 14","=""2140012""",1803
"Regional School District 14","=""2140012""",1768
"Regional School District 15","=""2150012""",4583
"Regional School District 15","=""2150012""",4559
"Regional School District 15","=""2150012""",4558
"Regional School District 15","=""2150012""",4440
"Regional School District 15","=""2150012""",4241
"Regional School District 15","=""2150012""",4093
"Regional School District 15","=""2150012""",4002
"Regional School District 15","=""2150012""",3868
"Regional School District 15","=""2150012""",3793
"Regional School District 16","=""2160012""",2691
"Regional School District 16","=""2160012""",2618
"Regional School District 16","=""2160012""",2594
"Regional School District 16","=""2160012""",2546
"Regional School District 16","=""2160012""",2487
"Regional School District 16","=""2160012""",2429
"Regional School District 16","=""2160012""",2352
"Regional School District 16","=""2160012""",2329
"Regional School District 16","=""2160012""",2270
"Regional School District 17","=""2170012""",2562
"Regional School District 17","=""2170012""",2547
"Regional School District 17","=""2170012""",2503
"Regional School District 17","=""2170012""",2485
"Regional School District 17","=""2170012""",2395
"Regional School District 17","=""2170012""",2320
"Regional School District 17","=""2170012""",2281
"Regional School District 17","=""2170012""",2186
"Regional School District 17","=""2170012""",2133
"Regional School District 18","=""2180012""",1538
"Regional School District 18","=""2180012""",1470
"Regional School District 18","=""2180012""",1490
"Regional School District 18","=""2180012""",1499
"Regional School District 18","=""2180012""",1456
"Regional School District 18","=""2180012""",1450
"Regional School District 18","=""2180012""",1411
"Regional School District 18","=""2180012""",1354
"Regional School District 18","=""2180012""",1339
"Regional School District 19","=""2190012""",1191
"Regional School District 19","=""2190012""",1181
"Regional School District 19","=""2190012""",1201
"Regional School District 19","=""2190012""",1197
"Regional School District 19","=""2190012""",1238
"Regional School District 19","=""2190012""",1235
"Regional School District 19","=""2190012""",1205
"Regional School District 19","=""2190012""",1204
"Regional School District 19","=""2190012""",1213
"Ridgefield School District","=""1180011""",5560
"Ridgefield School District","=""1180011""",5551
"Ridgefield School District","=""1180011""",5456
"Ridgefield School District","=""1180011""",5437
"Ridgefield School District","=""1180011""",5379
"Ridgefield School District","=""1180011""",5296
"Ridgefield School District","=""1180011""",5293
"Ridgefield School District","=""1180011""",5178
"Ridgefield School District","=""1180011""",5052
"Rocky Hill School District","=""1190011""",2622
"Rocky Hill School District","=""1190011""",2625
"Rocky Hill School District","=""1190011""",2649
"Rocky Hill School District","=""1190011""",2593
"Rocky Hill School District","=""1190011""",2539
"Rocky Hill School District","=""1190011""",2470
"Rocky Hill School District","=""1190011""",2425
"Rocky Hill School District","=""1190011""",2487
"Rocky Hill School District","=""1190011""",2610
"Salem School District","=""1210011""",506
"Salem School District","=""1210011""",523
"Salem School District","=""1210011""",494
"Salem School District","=""1210011""",463
"Salem School District","=""1210011""",445
"Salem School District","=""1210011""",428
"Salem School District","=""1210011""",435
"Salem School District","=""1210011""",399
"Salem School District","=""1210011""",384
"Salisbury School District","=""1220011""",307
"Salisbury School District","=""1220011""",319
"Salisbury School District","=""1220011""",311
"Salisbury School District","=""1220011""",310
"Salisbury School District","=""1220011""",311
"Salisbury School District","=""1220011""",310
"Salisbury School District","=""1220011""",280
"Salisbury School District","=""1220011""",273
"Salisbury School District","=""1220011""",274
"Scotland School District","=""1230011""",190
"Scotland School District","=""1230011""",190
"Scotland School District","=""1230011""",161
"Scotland School District","=""1230011""",143
"Scotland School District","=""1230011""",132
"Scotland School District","=""1230011""",127
"Scotland School District","=""1230011""",133
"Scotland School District","=""1230011""",129
"Scotland School District","=""1230011""",119
"Seymour School District","=""1240011""",2619
"Seymour School District","=""1240011""",2582
"Seymour School District","=""1240011""",2442
"Seymour School District","=""1240011""",2424
"Seymour School District","=""1240011""",2310
"Seymour School District","=""1240011""",2294
"Seymour School District","=""1240011""",2306
"Seymour School District","=""1240011""",2286
"Seymour School District","=""1240011""",2215
"Sharon School District","=""1250011""",219
"Sharon School District","=""1250011""",196
"Sharon School District","=""1250011""",205
"Sharon School District","=""1250011""",197
"Sharon School District","=""1250011""",191
"Sharon School District","=""1250011""",188
"Sharon School District","=""1250011""",177
"Sharon School District","=""1250011""",177
"Sharon School District","=""1250011""",160
"Shelton School District","=""1260011""",5670
"Shelton School District","=""1260011""",5570
"Shelton School District","=""1260011""",5480
"Shelton School District","=""1260011""",5305
"Shelton School District","=""1260011""",5245
"Shelton School District","=""1260011""",5130
"Shelton School District","=""1260011""",4982
"Shelton School District","=""1260011""",4947
"Shelton School District","=""1260011""",4925
"Sherman School District","=""1270011""",459
"Sherman School District","=""1270011""",460
"Sherman School District","=""1270011""",446
"Sherman School District","=""1270011""",409
"Sherman School District","=""1270011""",398
"Sherman School District","=""1270011""",384
"Sherman School District","=""1270011""",373
"Sherman School District","=""1270011""",349
"Sherman School District","=""1270011""",337
"Side By Side Charter School District","=""2700013""",230
"Side By Side Charter School District","=""2700013""",229
"Side By Side Charter School District","=""2700013""",232
"Side By Side Charter School District","=""2700013""",233
"Side By Side Charter School District","=""2700013""",232
"Side By Side Charter School District","=""2700013""",233
"Side By Side Charter School District","=""2700013""",235
"Side By Side Charter School District","=""2700013""",235
"Side By Side Charter School District","=""2700013""",236
"Simsbury School District","=""1280011""",4973
"Simsbury School District","=""1280011""",4950
"Simsbury School District","=""1280011""",4886
"Simsbury School District","=""1280011""",4781
"Simsbury School District","=""1280011""",4690
"Simsbury School District","=""1280011""",4553
"Simsbury School District","=""1280011""",4377
"Simsbury School District","=""1280011""",4307
"Simsbury School District","=""1280011""",4190
"Somers School District","=""1290011""",1734
"Somers School District","=""1290011""",1729
"Somers School District","=""1290011""",1660
"Somers School District","=""1290011""",1640
"Somers School District","=""1290011""",1622
"Somers School District","=""1290011""",1586
"Somers School District","=""1290011""",1515
"Somers School District","=""1290011""",1480
"Somers School District","=""1290011""",1435
"South Windsor School District","=""1320011""",4972
"South Windsor School District","=""1320011""",4839
"South Windsor School District","=""1320011""",4696
"South Windsor School District","=""1320011""",4599
"South Windsor School District","=""1320011""",4395
"South Windsor School District","=""1320011""",4321
"South Windsor School District","=""1320011""",4287
"South Windsor School District","=""1320011""",4216
"South Windsor School District","=""1320011""",4156
"Southington School District","=""1310011""",6947
"Southington School District","=""1310011""",6866
"Southington School District","=""1310011""",6839
"Southington School District","=""1310011""",6832
"Southington School District","=""1310011""",6745
"Southington School District","=""1310011""",6740
"Southington School District","=""1310011""",6704
"Southington School District","=""1310011""",6626
"Southington School District","=""1310011""",6583
"Sprague School District","=""1330011""",356
"Sprague School District","=""1330011""",355
"Sprague School District","=""1330011""",352
"Sprague School District","=""1330011""",373
"Sprague School District","=""1330011""",380
"Sprague School District","=""1330011""",373
"Sprague School District","=""1330011""",365
"Sprague School District","=""1330011""",366
