"District","FIPS","Year","Variable","Measure Type","Value"
"Woodbridge School District","","2009-2010","Student Enrollment","Number","733"
"Woodstock Academy District","","2009-2010","Student Enrollment","Number","1153"
"Woodstock School District","","2009-2010","Student Enrollment","Number","923"
"Achievement First Bridgeport Academy District","","2010-2011","Student Enrollment","Number","409"
"Achievement First Hartford Academy District","","2010-2011","Student Enrollment","Number","610"
"Amistad Academy District","","2010-2011","Student Enrollment","Number","812"
"Andover School District","","2010-2011","Student Enrollment","Number","334"
"Ansonia School District","900901220","2010-2011","Student Enrollment","Number","2627"
"Area Cooperative Educational Services","","2010-2011","Student Enrollment","Number","1991"
"Ashford School District","","2010-2011","Student Enrollment","Number","479"
"Avon School District","900302060","2010-2011","Student Enrollment","Number","3564"
"Barkhamsted School District","","2010-2011","Student Enrollment","Number","373"
"Berlin School District","","2010-2011","Student Enrollment","Number","3129"
"Bethany School District","","2010-2011","Student Enrollment","Number","514"
"Bethel School District","900104720","2010-2011","Student Enrollment","Number","2949"
"Bloomfield School District","900305910","2010-2011","Student Enrollment","Number","2207"
"Bolton School District","901306260","2010-2011","Student Enrollment","Number","904"
"Booker T Washington Academy District","","2010-2011","Student Enrollment","Number","-6666"
"Bozrah School District","","2010-2011","Student Enrollment","Number","236"
"Branford School District","900907310","2010-2011","Student Enrollment","Number","3445"
"Brass City Charter School District","","2010-2011","Student Enrollment","Number","-6666"
"Bridgeport School District","900108070","2010-2011","Student Enrollment","Number","20457"
"Bristol School District","900308490","2010-2011","Student Enrollment","Number","8666"
"Brookfield School District","900108980","2010-2011","Student Enrollment","Number","2874"
"Brooklyn School District","","2010-2011","Student Enrollment","Number","957"
"Canaan School District","","2010-2011","Student Enrollment","Number","86"
"Canterbury School District","","2010-2011","Student Enrollment","Number","528"
"Canton School District","900312270","2010-2011","Student Enrollment","Number","1789"
"Capital Preparatory Harbor School Inc. District","","2010-2011","Student Enrollment","Number","-6666"
"Capitol Region Education Council","","2010-2011","Student Enrollment","Number","4646"
"Chaplin School District","","2010-2011","Student Enrollment","Number","187"
"Charter School for Young Children on Asylum Hill","","2010-2011","Student Enrollment","Number","225"
"Cheshire School District","900914160","2010-2011","Student Enrollment","Number","4825"
"Chester School District","","2010-2011","Student Enrollment","Number","275"
"Clinton School District","900715350","2010-2011","Student Enrollment","Number","2049"
"Colchester School District","901115910","2010-2011","Student Enrollment","Number","3101"
"Colebrook School District","","2010-2011","Student Enrollment","Number","112"
"Columbia School District","","2010-2011","Student Enrollment","Number","545"
"Common Ground High School District","","2010-2011","Student Enrollment","Number","163"
"Connecticut","9","2010-2011","Student Enrollment","Number","564499"
"Connecticut Technical High School System","","2010-2011","Student Enrollment","Number","10643"
"Cooperative Educational Services","","2010-2011","Student Enrollment","Number","787"
"Cornwall School District","","2010-2011","Student Enrollment","Number","115"
"Coventry School District","","2010-2011","Student Enrollment","Number","1844"
"Cromwell School District","","2010-2011","Student Enrollment","Number","2032"
"Danbury School District","900118500","2010-2011","Student Enrollment","Number","10694"
"Darien School District","900118850","2010-2011","Student Enrollment","Number","4855"
"Deep River School District","","2010-2011","Student Enrollment","Number","354"
"Department of Mental Health and Addiction Services","","2010-2011","Student Enrollment","Number","6"
"Derby School District","900919550","2010-2011","Student Enrollment","Number","1476"
"East Granby School District","900322070","2010-2011","Student Enrollment","Number","893"
"East Haddam School District","","2010-2011","Student Enrollment","Number","1355"
"East Hampton School District","900722490","2010-2011","Student Enrollment","Number","1978"
"East Hartford School District","900322630","2010-2011","Student Enrollment","Number","7128"
"East Haven School District","900922910","2010-2011","Student Enrollment","Number","3448"
"East Lyme School District","901123400","2010-2011","Student Enrollment","Number","3084"
"East Windsor School District","900324800","2010-2011","Student Enrollment","Number","1345"
"Eastern Connecticut Regional Educational Services","","2010-2011","Student Enrollment","Number","284"
"Eastford School District","","2010-2011","Student Enrollment","Number","180"
"Easton School District","","2010-2011","Student Enrollment","Number","1103"
"Ellington School District","901325360","2010-2011","Student Enrollment","Number","2734"
"Elm City College Preparatory School District","","2010-2011","Student Enrollment","Number","585"
"Elm City Montessori School District","","2010-2011","Student Enrollment","Number","-6666"
"Enfield School District","900325990","2010-2011","Student Enrollment","Number","5912"
"Essex School District","","2010-2011","Student Enrollment","Number","594"
"Explorations District","","2010-2011","Student Enrollment","Number","80"
"Fairfield School District","900126620","2010-2011","Student Enrollment","Number","10207"
"Farmington School District","900327600","2010-2011","Student Enrollment","Number","4151"
"Franklin School District","","2010-2011","Student Enrollment","Number","224"
"Glastonbury School District","900331240","2010-2011","Student Enrollment","Number","6841"
"Granby School District","900332640","2010-2011","Student Enrollment","Number","2253"
"Great Oaks Charter School Bridgeport","","2010-2011","Student Enrollment","Number","-6666"
"Greenwich School District","900133620","2010-2011","Student Enrollment","Number","8873"
"Griswold School District","901133900","2010-2011","Student Enrollment","Number","2013"
"Groton School District","901134250","2010-2011","Student Enrollment","Number","4997"
"Guilford School District","900934950","2010-2011","Student Enrollment","Number","3702"
"Hamden School District","900935650","2010-2011","Student Enrollment","Number","6044"
"Hampton School District","","2010-2011","Student Enrollment","Number","140"
"Hartford School District","900337070","2010-2011","Student Enrollment","Number","21365"
"Hartland School District","","2010-2011","Student Enrollment","Number","225"
"Hebron School District","","2010-2011","Student Enrollment","Number","1136"
"Highville Charter School District","","2010-2011","Student Enrollment","Number","300"
"Integrated Day Charter School District","","2010-2011","Student Enrollment","Number","331"
"Interdistrict School for Arts and Communication District","","2010-2011","Student Enrollment","Number","182"
"Jumoke Academy District","","2010-2011","Student Enrollment","Number","432"
"Kent School District","","2010-2011","Student Enrollment","Number","287"
"Killingly School District","901540500","2010-2011","Student Enrollment","Number","2711"
"LEARN","","2010-2011","Student Enrollment","Number","1295"
"Lebanon School District","901142390","2010-2011","Student Enrollment","Number","1412"
"Ledyard School District","901142600","2010-2011","Student Enrollment","Number","2643"
"Lisbon School District","","2010-2011","Student Enrollment","Number","535"
"Litchfield School District","900543370","2010-2011","Student Enrollment","Number","1176"
"Madison School District","900944560","2010-2011","Student Enrollment","Number","3630"
"Manchester School District","900344700","2010-2011","Student Enrollment","Number","6862"
"Mansfield School District","","2010-2011","Student Enrollment","Number","1331"
"Marlborough School District","","2010-2011","Student Enrollment","Number","675"
"Meriden School District","900946520","2010-2011","Student Enrollment","Number","8406"
"Middletown School District","900747360","2010-2011","Student Enrollment","Number","5251"
"Milford School District","900947535","2010-2011","Student Enrollment","Number","6988"
"Monroe School District","900148620","2010-2011","Student Enrollment","Number","3761"
"Montville School District","901148900","2010-2011","Student Enrollment","Number","2670"
"Naugatuck School District","900949950","2010-2011","Student Enrollment","Number","4674"
"New Beginnings Inc. Family Academy District","","2010-2011","Student Enrollment","Number","360"
"New Britain School District","900350440","2010-2011","Student Enrollment","Number","10222"
"New Canaan School District","900150580","2010-2011","Student Enrollment","Number","4143"
"New Fairfield School District","900150860","2010-2011","Student Enrollment","Number","2920"
"New Hartford School District","","2010-2011","Student Enrollment","Number","610"
"New Haven School District","900952070","2010-2011","Student Enrollment","Number","20194"
"New London School District","901152350","2010-2011","Student Enrollment","Number","3106"
"New Milford School District","900552630","2010-2011","Student Enrollment","Number","4773"
"Newington School District","900352140","2010-2011","Student Enrollment","Number","4447"
"Newtown School District","900152980","2010-2011","Student Enrollment","Number","5464"
"Norfolk School District","","2010-2011","Student Enrollment","Number","141"
"North Branford School District","900953890","2010-2011","Student Enrollment","Number","2293"
"North Canaan School District","","2010-2011","Student Enrollment","Number","318"
"North Haven School District","900954870","2010-2011","Student Enrollment","Number","3624"
"North Stonington School District","901155500","2010-2011","Student Enrollment","Number","796"
"Norwalk School District","900156060","2010-2011","Student Enrollment","Number","11143"
"Norwich Free Academy District","","2010-2011","Student Enrollment","Number","2381"
"Norwich School District","901156270","2010-2011","Student Enrollment","Number","3877"
"Odyssey Community School District","","2010-2011","Student Enrollment","Number","181"
"Old Saybrook School District","900757320","2010-2011","Student Enrollment","Number","1577"
"Orange School District","","2010-2011","Student Enrollment","Number","1284"
"Oxford School District","900958300","2010-2011","Student Enrollment","Number","2205"
"Park City Prep Charter School District","","2010-2011","Student Enrollment","Number","250"
"Path Academy District","","2010-2011","Student Enrollment","Number","-6666"
"Plainfield School District","901559980","2010-2011","Student Enrollment","Number","2645"
"Plainville School District","900360120","2010-2011","Student Enrollment","Number","2486"
"Plymouth School District","900560750","2010-2011","Student Enrollment","Number","1745"
"Pomfret School District","","2010-2011","Student Enrollment","Number","518"
"Portland School District","900761800","2010-2011","Student Enrollment","Number","1408"
"Preston School District","","2010-2011","Student Enrollment","Number","438"
"Putnam School District","901562710","2010-2011","Student Enrollment","Number","1301"
"Redding School District","","2010-2011","Student Enrollment","Number","1246"
"Regional School District 01","","2010-2011","Student Enrollment","Number","506"
"Regional School District 04","","2010-2011","Student Enrollment","Number","983"
"Regional School District 05","","2010-2011","Student Enrollment","Number","2495"
"Regional School District 06","","2010-2011","Student Enrollment","Number","1053"
"Regional School District 07","","2010-2011","Student Enrollment","Number","1179"
"Regional School District 08","","2010-2011","Student Enrollment","Number","1780"
"Regional School District 09","","2010-2011","Student Enrollment","Number","985"
"Regional School District 10","","2010-2011","Student Enrollment","Number","2773"
"Regional School District 11","","2010-2011","Student Enrollment","Number","282"
"Regional School District 12","","2010-2011","Student Enrollment","Number","933"
"Regional School District 13","","2010-2011","Student Enrollment","Number","2052"
"Regional School District 14","","2010-2011","Student Enrollment","Number","2104"
"Regional School District 15","","2010-2011","Student Enrollment","Number","4440"
"Regional School District 16","","2010-2011","Student Enrollment","Number","2546"
"Regional School District 17","","2010-2011","Student Enrollment","Number","2485"
"Regional School District 18","","2010-2011","Student Enrollment","Number","1499"
"Regional School District 19","","2010-2011","Student Enrollment","Number","1197"
"Ridgefield School District","900163970","2010-2011","Student Enrollment","Number","5437"
"Rocky Hill School District","900365370","2010-2011","Student Enrollment","Number","2593"
"Salem School District","","2010-2011","Student Enrollment","Number","463"
"Salisbury School District","","2010-2011","Student Enrollment","Number","310"
"Scotland School District","","2010-2011","Student Enrollment","Number","143"
"Seymour School District","900967610","2010-2011","Student Enrollment","Number","2424"
"Sharon School District","","2010-2011","Student Enrollment","Number","197"
"Shelton School District","900168170","2010-2011","Student Enrollment","Number","5305"
"Sherman School District","","2010-2011","Student Enrollment","Number","409"
"Side By Side Charter School District","","2010-2011","Student Enrollment","Number","233"
"Simsbury School District","900368940","2010-2011","Student Enrollment","Number","4781"
"Somers School District","901369220","2010-2011","Student Enrollment","Number","1640"
"South Windsor School District","900371390","2010-2011","Student Enrollment","Number","4599"
"Southington School District","900370550","2010-2011","Student Enrollment","Number","6832"
"Sprague School District","","2010-2011","Student Enrollment","Number","373"
"Stafford School District","901372090","2010-2011","Student Enrollment","Number","1865"
"Stamford Academy District","","2010-2011","Student Enrollment","Number","137"
"Stamford Charter School for Excellence District","","2010-2011","Student Enrollment","Number","-6666"
"Stamford School District","900173070","2010-2011","Student Enrollment","Number","15390"
"Sterling School District","","2010-2011","Student Enrollment","Number","486"
"Stonington School District","901173770","2010-2011","Student Enrollment","Number","2515"
"Stratford School District","900174190","2010-2011","Student Enrollment","Number","7338"
"Suffield School District","900374540","2010-2011","Student Enrollment","Number","2520"
"The Bridge Academy District","","2010-2011","Student Enrollment","Number","271"
"The Gilbert School District","","2010-2011","Student Enrollment","Number","325"
"Thomaston School District","900575730","2010-2011","Student Enrollment","Number","1129"
"Thompson School District","901575870","2010-2011","Student Enrollment","Number","1277"
"Tolland School District","901376290","2010-2011","Student Enrollment","Number","3074"
"Torrington School District","900576570","2010-2011","Student Enrollment","Number","4620"
"Trailblazers Academy District","","2010-2011","Student Enrollment","Number","162"
"Trumbull School District","900177200","2010-2011","Student Enrollment","Number","6992"
"Unified School District #1","","2010-2011","Student Enrollment","Number","816"
"Unified School District #2","","2010-2011","Student Enrollment","Number","305"
"Union School District","","2010-2011","Student Enrollment","Number","82"
"Vernon School District","901378250","2010-2011","Student Enrollment","Number","3615"
"Voluntown School District","","2010-2011","Student Enrollment","Number","318"
"Wallingford School District","900978740","2010-2011","Student Enrollment","Number","6600"
"Waterbury School District","900980070","2010-2011","Student Enrollment","Number","18188"
"Waterford School District","901180280","2010-2011","Student Enrollment","Number","2829"
"Watertown School District","900580490","2010-2011","Student Enrollment","Number","3187"
"West Hartford School District","900382590","2010-2011","Student Enrollment","Number","10269"
"West Haven School District","900982870","2010-2011","Student Enrollment","Number","6266"
"Westbrook School District","900781680","2010-2011","Student Enrollment","Number","950"
"Western Connecticut Regional Educational Services","","2010-2011","Student Enrollment","Number","217"
"Weston School District","900183430","2010-2011","Student Enrollment","Number","2541"
"Westport School District","900183500","2010-2011","Student Enrollment","Number","5800"
"Wethersfield School District","900384900","2010-2011","Student Enrollment","Number","3819"
"Willington School District","","2010-2011","Student Enrollment","Number","514"
"Wilton School District","900186370","2010-2011","Student Enrollment","Number","4340"
"Winchester School District","900586440","2010-2011","Student Enrollment","Number","964"
"Windham School District","901586790","2010-2011","Student Enrollment","Number","3397"
"Windsor Locks School District","900387070","2010-2011","Student Enrollment","Number","1799"
"Windsor School District","900387000","2010-2011","Student Enrollment","Number","3652"
"Wolcott School District","900987560","2010-2011","Student Enrollment","Number","2752"
"Woodbridge School District","","2010-2011","Student Enrollment","Number","723"
"Woodstock Academy District","","2010-2011","Student Enrollment","Number","1096"
"Woodstock School District","","2010-2011","Student Enrollment","Number","932"
"Achievement First Bridgeport Academy District","","2011-2012","Student Enrollment","Number","543"
"Achievement First Hartford Academy District","","2011-2012","Student Enrollment","Number","762"
"Amistad Academy District","","2011-2012","Student Enrollment","Number","857"
"Andover School District","","2011-2012","Student Enrollment","Number","314"
"Ansonia School District","900901220","2011-2012","Student Enrollment","Number","2526"
"Area Cooperative Educational Services","","2011-2012","Student Enrollment","Number","1955"
"Ashford School District","","2011-2012","Student Enrollment","Number","481"
"Avon School District","900302060","2011-2012","Student Enrollment","Number","3518"
"Barkhamsted School District","","2011-2012","Student Enrollment","Number","357"
"Berlin School District","","2011-2012","Student Enrollment","Number","3027"
"Bethany School District","","2011-2012","Student Enrollment","Number","492"
"Bethel School District","900104720","2011-2012","Student Enrollment","Number","2982"
"Bloomfield School District","900305910","2011-2012","Student Enrollment","Number","2164"
"Bolton School District","901306260","2011-2012","Student Enrollment","Number","897"
"Booker T Washington Academy District","","2011-2012","Student Enrollment","Number","-6666"
"Bozrah School District","","2011-2012","Student Enrollment","Number","236"
"Branford School District","900907310","2011-2012","Student Enrollment","Number","3341"
"Brass City Charter School District","","2011-2012","Student Enrollment","Number","-6666"
"Bridgeport School District","900108070","2011-2012","Student Enrollment","Number","20367"
"Bristol School District","900308490","2011-2012","Student Enrollment","Number","8523"
"Brookfield School District","900108980","2011-2012","Student Enrollment","Number","2845"
"Brooklyn School District","","2011-2012","Student Enrollment","Number","939"
"Canaan School District","","2011-2012","Student Enrollment","Number","86"
"Canterbury School District","","2011-2012","Student Enrollment","Number","520"
"Canton School District","900312270","2011-2012","Student Enrollment","Number","1751"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Student Enrollment","Number","-6666"
"Capitol Region Education Council","","2011-2012","Student Enrollment","Number","5558"
"Chaplin School District","","2011-2012","Student Enrollment","Number","182"
"Charter School for Young Children on Asylum Hill","","2011-2012","Student Enrollment","Number","-6666"
"Cheshire School District","900914160","2011-2012","Student Enrollment","Number","4809"
"Chester School District","","2011-2012","Student Enrollment","Number","260"
"Clinton School District","900715350","2011-2012","Student Enrollment","Number","2012"
"Colchester School District","901115910","2011-2012","Student Enrollment","Number","3031"
"Colebrook School District","","2011-2012","Student Enrollment","Number","99"
"Columbia School District","","2011-2012","Student Enrollment","Number","530"
"Common Ground High School District","","2011-2012","Student Enrollment","Number","165"
"Connecticut","9","2011-2012","Student Enrollment","Number","558377"
"Connecticut Technical High School System","","2011-2012","Student Enrollment","Number","10656"
"Cooperative Educational Services","","2011-2012","Student Enrollment","Number","813"
"Cornwall School District","","2011-2012","Student Enrollment","Number","106"
"Coventry School District","","2011-2012","Student Enrollment","Number","1796"
"Cromwell School District","","2011-2012","Student Enrollment","Number","2000"
"Danbury School District","900118500","2011-2012","Student Enrollment","Number","10822"
"Darien School District","900118850","2011-2012","Student Enrollment","Number","4833"
"Deep River School District","","2011-2012","Student Enrollment","Number","359"
"Department of Mental Health and Addiction Services","","2011-2012","Student Enrollment","Number","6"
"Derby School District","900919550","2011-2012","Student Enrollment","Number","1453"
"East Granby School District","900322070","2011-2012","Student Enrollment","Number","847"
"East Haddam School District","","2011-2012","Student Enrollment","Number","1287"
"East Hampton School District","900722490","2011-2012","Student Enrollment","Number","1952"
"East Hartford School District","900322630","2011-2012","Student Enrollment","Number","7176"
"East Haven School District","900922910","2011-2012","Student Enrollment","Number","3297"
"East Lyme School District","901123400","2011-2012","Student Enrollment","Number","2985"
"East Windsor School District","900324800","2011-2012","Student Enrollment","Number","1298"
"Eastern Connecticut Regional Educational Services","","2011-2012","Student Enrollment","Number","295"
"Eastford School District","","2011-2012","Student Enrollment","Number","176"
"Easton School District","","2011-2012","Student Enrollment","Number","1059"
"Ellington School District","901325360","2011-2012","Student Enrollment","Number","2755"
"Elm City College Preparatory School District","","2011-2012","Student Enrollment","Number","600"
"Elm City Montessori School District","","2011-2012","Student Enrollment","Number","-6666"
"Enfield School District","900325990","2011-2012","Student Enrollment","Number","5673"
"Essex School District","","2011-2012","Student Enrollment","Number","559"
"Explorations District","","2011-2012","Student Enrollment","Number","74"
"Fairfield School District","900126620","2011-2012","Student Enrollment","Number","10335"
"Farmington School District","900327600","2011-2012","Student Enrollment","Number","4069"
"Franklin School District","","2011-2012","Student Enrollment","Number","206"
"Glastonbury School District","900331240","2011-2012","Student Enrollment","Number","6721"
"Granby School District","900332640","2011-2012","Student Enrollment","Number","2171"
"Great Oaks Charter School Bridgeport","","2011-2012","Student Enrollment","Number","-6666"
"Greenwich School District","900133620","2011-2012","Student Enrollment","Number","8822"
"Griswold School District","901133900","2011-2012","Student Enrollment","Number","1974"
"Groton School District","901134250","2011-2012","Student Enrollment","Number","4990"
"Guilford School District","900934950","2011-2012","Student Enrollment","Number","3684"
"Hamden School District","900935650","2011-2012","Student Enrollment","Number","5897"
"Hampton School District","","2011-2012","Student Enrollment","Number","126"
"Hartford School District","900337070","2011-2012","Student Enrollment","Number","21297"
"Hartland School District","","2011-2012","Student Enrollment","Number","227"
"Hebron School District","","2011-2012","Student Enrollment","Number","1048"
"Highville Charter School District","","2011-2012","Student Enrollment","Number","337"
"Integrated Day Charter School District","","2011-2012","Student Enrollment","Number","330"
"Interdistrict School for Arts and Communication District","","2011-2012","Student Enrollment","Number","191"
"Jumoke Academy District","","2011-2012","Student Enrollment","Number","488"
"Kent School District","","2011-2012","Student Enrollment","Number","278"
"Killingly School District","901540500","2011-2012","Student Enrollment","Number","2704"
"LEARN","","2011-2012","Student Enrollment","Number","1514"
"Lebanon School District","901142390","2011-2012","Student Enrollment","Number","1293"
"Ledyard School District","901142600","2011-2012","Student Enrollment","Number","2604"
"Lisbon School District","","2011-2012","Student Enrollment","Number","481"
"Litchfield School District","900543370","2011-2012","Student Enrollment","Number","1133"
"Madison School District","900944560","2011-2012","Student Enrollment","Number","3465"
"Manchester School District","900344700","2011-2012","Student Enrollment","Number","6454"
"Mansfield School District","","2011-2012","Student Enrollment","Number","1329"
"Marlborough School District","","2011-2012","Student Enrollment","Number","672"
"Meriden School District","900946520","2011-2012","Student Enrollment","Number","8342"
"Middletown School District","900747360","2011-2012","Student Enrollment","Number","5106"
"Milford School District","900947535","2011-2012","Student Enrollment","Number","6836"
"Monroe School District","900148620","2011-2012","Student Enrollment","Number","3589"
"Montville School District","901148900","2011-2012","Student Enrollment","Number","2575"
"Naugatuck School District","900949950","2011-2012","Student Enrollment","Number","4535"
"New Beginnings Inc. Family Academy District","","2011-2012","Student Enrollment","Number","361"
"New Britain School District","900350440","2011-2012","Student Enrollment","Number","10268"
"New Canaan School District","900150580","2011-2012","Student Enrollment","Number","4173"
"New Fairfield School District","900150860","2011-2012","Student Enrollment","Number","2878"
"New Hartford School District","","2011-2012","Student Enrollment","Number","583"
"New Haven School District","900952070","2011-2012","Student Enrollment","Number","20648"
"New London School District","901152350","2011-2012","Student Enrollment","Number","2998"
"New Milford School District","900552630","2011-2012","Student Enrollment","Number","4688"
"Newington School District","900352140","2011-2012","Student Enrollment","Number","4378"
"Newtown School District","900152980","2011-2012","Student Enrollment","Number","5316"
"Norfolk School District","","2011-2012","Student Enrollment","Number","124"
"North Branford School District","900953890","2011-2012","Student Enrollment","Number","2187"
"North Canaan School District","","2011-2012","Student Enrollment","Number","308"
"North Haven School District","900954870","2011-2012","Student Enrollment","Number","3580"
"North Stonington School District","901155500","2011-2012","Student Enrollment","Number","781"
"Norwalk School District","900156060","2011-2012","Student Enrollment","Number","11183"
"Norwich Free Academy District","","2011-2012","Student Enrollment","Number","2315"
"Norwich School District","901156270","2011-2012","Student Enrollment","Number","3883"
"Odyssey Community School District","","2011-2012","Student Enrollment","Number","314"
"Old Saybrook School District","900757320","2011-2012","Student Enrollment","Number","1571"
"Orange School District","","2011-2012","Student Enrollment","Number","1273"
"Oxford School District","900958300","2011-2012","Student Enrollment","Number","2147"
"Park City Prep Charter School District","","2011-2012","Student Enrollment","Number","257"
"Path Academy District","","2011-2012","Student Enrollment","Number","-6666"
"Plainfield School District","901559980","2011-2012","Student Enrollment","Number","2593"
"Plainville School District","900360120","2011-2012","Student Enrollment","Number","2424"
"Plymouth School District","900560750","2011-2012","Student Enrollment","Number","1665"
"Pomfret School District","","2011-2012","Student Enrollment","Number","475"
"Portland School District","900761800","2011-2012","Student Enrollment","Number","1372"
"Preston School District","","2011-2012","Student Enrollment","Number","404"
"Putnam School District","901562710","2011-2012","Student Enrollment","Number","1264"
"Redding School District","","2011-2012","Student Enrollment","Number","1210"
"Regional School District 01","","2011-2012","Student Enrollment","Number","467"
"Regional School District 04","","2011-2012","Student Enrollment","Number","963"
"Regional School District 05","","2011-2012","Student Enrollment","Number","2444"
"Regional School District 06","","2011-2012","Student Enrollment","Number","1045"
"Regional School District 07","","2011-2012","Student Enrollment","Number","1163"
"Regional School District 08","","2011-2012","Student Enrollment","Number","1792"
"Regional School District 09","","2011-2012","Student Enrollment","Number","1022"
"Regional School District 10","","2011-2012","Student Enrollment","Number","2679"
"Regional School District 11","","2011-2012","Student Enrollment","Number","300"
"Regional School District 12","","2011-2012","Student Enrollment","Number","889"
"Regional School District 13","","2011-2012","Student Enrollment","Number","2001"
"Regional School District 14","","2011-2012","Student Enrollment","Number","2018"
"Regional School District 15","","2011-2012","Student Enrollment","Number","4241"
"Regional School District 16","","2011-2012","Student Enrollment","Number","2487"
"Regional School District 17","","2011-2012","Student Enrollment","Number","2395"
"Regional School District 18","","2011-2012","Student Enrollment","Number","1456"
"Regional School District 19","","2011-2012","Student Enrollment","Number","1238"
"Ridgefield School District","900163970","2011-2012","Student Enrollment","Number","5379"
"Rocky Hill School District","900365370","2011-2012","Student Enrollment","Number","2539"
"Salem School District","","2011-2012","Student Enrollment","Number","445"
"Salisbury School District","","2011-2012","Student Enrollment","Number","311"
"Scotland School District","","2011-2012","Student Enrollment","Number","132"
"Seymour School District","900967610","2011-2012","Student Enrollment","Number","2310"
"Sharon School District","","2011-2012","Student Enrollment","Number","191"
"Shelton School District","900168170","2011-2012","Student Enrollment","Number","5245"
"Sherman School District","","2011-2012","Student Enrollment","Number","398"
"Side By Side Charter School District","","2011-2012","Student Enrollment","Number","232"
"Simsbury School District","900368940","2011-2012","Student Enrollment","Number","4690"
"Somers School District","901369220","2011-2012","Student Enrollment","Number","1622"
"South Windsor School District","900371390","2011-2012","Student Enrollment","Number","4395"
"Southington School District","900370550","2011-2012","Student Enrollment","Number","6745"
"Sprague School District","","2011-2012","Student Enrollment","Number","380"
"Stafford School District","901372090","2011-2012","Student Enrollment","Number","1830"
"Stamford Academy District","","2011-2012","Student Enrollment","Number","138"
"Stamford Charter School for Excellence District","","2011-2012","Student Enrollment","Number","-6666"
"Stamford School District","900173070","2011-2012","Student Enrollment","Number","15571"
"Sterling School District","","2011-2012","Student Enrollment","Number","494"
"Stonington School District","901173770","2011-2012","Student Enrollment","Number","2430"
"Stratford School District","900174190","2011-2012","Student Enrollment","Number","7300"
"Suffield School District","900374540","2011-2012","Student Enrollment","Number","2503"
"The Bridge Academy District","","2011-2012","Student Enrollment","Number","276"
"The Gilbert School District","","2011-2012","Student Enrollment","Number","542"
"Thomaston School District","900575730","2011-2012","Student Enrollment","Number","1064"
"Thompson School District","901575870","2011-2012","Student Enrollment","Number","1202"
"Tolland School District","901376290","2011-2012","Student Enrollment","Number","2976"
"Torrington School District","900576570","2011-2012","Student Enrollment","Number","4565"
"Trailblazers Academy District","","2011-2012","Student Enrollment","Number","170"
"Trumbull School District","900177200","2011-2012","Student Enrollment","Number","6959"
"Unified School District #1","","2011-2012","Student Enrollment","Number","744"
"Unified School District #2","","2011-2012","Student Enrollment","Number","262"
"Union School District","","2011-2012","Student Enrollment","Number","74"
"Vernon School District","901378250","2011-2012","Student Enrollment","Number","3590"
"Voluntown School District","","2011-2012","Student Enrollment","Number","323"
"Wallingford School District","900978740","2011-2012","Student Enrollment","Number","6435"
"Waterbury School District","900980070","2011-2012","Student Enrollment","Number","18175"
"Waterford School District","901180280","2011-2012","Student Enrollment","Number","2711"
"Watertown School District","900580490","2011-2012","Student Enrollment","Number","3106"
"West Hartford School District","900382590","2011-2012","Student Enrollment","Number","10147"
"West Haven School District","900982870","2011-2012","Student Enrollment","Number","6131"
"Westbrook School District","900781680","2011-2012","Student Enrollment","Number","928"
"Western Connecticut Regional Educational Services","","2011-2012","Student Enrollment","Number","221"
"Weston School District","900183430","2011-2012","Student Enrollment","Number","2490"
"Westport School District","900183500","2011-2012","Student Enrollment","Number","5757"
"Wethersfield School District","900384900","2011-2012","Student Enrollment","Number","3711"
"Willington School District","","2011-2012","Student Enrollment","Number","495"
"Wilton School District","900186370","2011-2012","Student Enrollment","Number","4336"
"Winchester School District","900586440","2011-2012","Student Enrollment","Number","709"
"Windham School District","901586790","2011-2012","Student Enrollment","Number","3271"
"Windsor Locks School District","900387070","2011-2012","Student Enrollment","Number","1763"
"Windsor School District","900387000","2011-2012","Student Enrollment","Number","3520"
"Wolcott School District","900987560","2011-2012","Student Enrollment","Number","2664"
"Woodbridge School District","","2011-2012","Student Enrollment","Number","738"
"Woodstock Academy District","","2011-2012","Student Enrollment","Number","1098"
"Woodstock School District","","2011-2012","Student Enrollment","Number","894"
"Achievement First Bridgeport Academy District","","2012-2013","Student Enrollment","Number","702"
"Achievement First Hartford Academy District","","2012-2013","Student Enrollment","Number","824"
"Amistad Academy District","","2012-2013","Student Enrollment","Number","904"
"Andover School District","","2012-2013","Student Enrollment","Number","315"
"Ansonia School District","900901220","2012-2013","Student Enrollment","Number","2425"
"Area Cooperative Educational Services","","2012-2013","Student Enrollment","Number","1932"
"Ashford School District","","2012-2013","Student Enrollment","Number","440"
"Avon School District","900302060","2012-2013","Student Enrollment","Number","3421"
"Barkhamsted School District","","2012-2013","Student Enrollment","Number","349"
"Berlin School District","","2012-2013","Student Enrollment","Number","2985"
"Bethany School District","","2012-2013","Student Enrollment","Number","473"
"Bethel School District","900104720","2012-2013","Student Enrollment","Number","2987"
"Bloomfield School District","900305910","2012-2013","Student Enrollment","Number","2119"
"Bolton School District","901306260","2012-2013","Student Enrollment","Number","897"
"Booker T Washington Academy District","","2012-2013","Student Enrollment","Number","-6666"
"Bozrah School District","","2012-2013","Student Enrollment","Number","243"
"Branford School District","900907310","2012-2013","Student Enrollment","Number","3282"
"Brass City Charter School District","","2012-2013","Student Enrollment","Number","-6666"
